,agent,opponent,episode,num_actions,episode_reward,cumulative_reward,time_per_episode,action_history,q_total,q_mean
0,"Qlearntab_Language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,0,7,-1.35,-1.35,0.06482720375061035,"['down', 'right', 'up', 'down', 'up', 'right', 'left', 'left']",-0.06725,-0.011208333333333334
1,"Qlearntab_Language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,1,4,-1.2,-2.55,0.04488062858581543,"['right', 'down', 'up', 'right', 'right']",-0.12698750000000003,-0.018141071428571433
2,"Qlearntab_Language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,2,64,-2.1999999999999966,-4.7499999999999964,0.4109017848968506,"['right', 'down', 'up', 'up', 'up', 'up', 'right', 'down', 'left', 'left', 'right', 'right', 'right', 'up', 'left', 'left', 'left', 'down', 'down', 'right', 'right', 'left', 'right', 'down', 'up', 'down', 'right', 'up', 'right', 'right', 'left', 'up', 'up', 'up', 'right', 'down', 'left', 'right', 'left', 'down', 'down', 'down', 'right', 'left', 'left', 'left', 'down', 'up', 'down', 'right', 'up', 'right', 'up', 'down', 'up', 'down', 'right', 'right', 'left', 'up', 'left', 'up', 'down', 'left', 'right']",-0.23553658272395944,-0.008723577137924423
3,"Qlearntab_Language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,3,18,0.09999999999999976,-4.649999999999997,0.12466645240783691,"['down', 'down', 'left', 'left', 'left', 'left', 'right', 'up', 'left', 'down', 'up', 'left', 'right', 'up', 'left', 'right', 'down', 'right', 'right']",-0.2276603551224573,-0.008130726968659189
4,"Qlearntab_Language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,4,3,-1.15,-5.799999999999997,0.02592945098876953,"['right', 'down', 'down', 'up']",-0.2838824068541773,-0.009462746895139243
5,"Qlearntab_Language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,5,18,-1.9000000000000004,-7.6999999999999975,0.11967849731445312,"['up', 'left', 'up', 'up', 'down', 'down', 'left', 'up', 'down', 'right', 'down', 'right', 'down', 'left', 'down', 'down', 'left', 'left', 'up']",-0.37259244468483455,-0.01201911111886563
6,"Qlearntab_Language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,6,23,-0.15000000000000036,-7.849999999999998,0.15259194374084473,"['down', 'left', 'left', 'down', 'left', 'up', 'left', 'up', 'right', 'down', 'down', 'down', 'down', 'up', 'up', 'down', 'up', 'right', 'up', 'right', 'down', 'right', 'up', 'right']",-0.3717122713591947,-0.011990718430941764
7,"Qlearntab_Language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,7,14,-1.7000000000000002,-9.549999999999997,0.08776569366455078,"['left', 'up', 'right', 'down', 'left', 'up', 'up', 'up', 'left', 'up', 'up', 'right', 'right', 'down', 'up']",-0.44963098661979056,-0.014050968331868455
8,"Qlearntab_Language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,8,4,0.8,-8.749999999999996,0.03191518783569336,"['up', 'right', 'right', 'right', 'right']",-0.40812225563336635,-0.012753820488542698
9,"Qlearntab_Language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,9,5,0.75,-7.9999999999999964,0.04288458824157715,"['up', 'left', 'left', 'right', 'right', 'right']",-0.369012948871423,-0.011531654652231969
