,agent,opponent,episode,num_actions,episode_reward,cumulative_reward,time_per_episode,action_history,q_total,q_mean
0,"Qlearntab_Language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,0,10,-1.5,-1.5,0.07779288291931152,"['up', 'right', 'right', 'up', 'down', 'down', 'up', 'up', 'up', 'right', 'up']",-0.07520004609375,-0.010742863727678572
1,"Qlearntab_Language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,1,7,-1.35,-2.85,0.05983781814575195,"['right', 'up', 'up', 'right', 'down', 'right', 'right', 'up']",-0.14240726406250004,-0.014240726406250005
2,"Qlearntab_Language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,2,20,-2.0,-4.85,0.1296522617340088,"['left', 'up', 'up', 'left', 'down', 'up', 'right', 'right', 'left', 'right', 'down', 'right', 'right', 'down', 'up', 'right', 'right', 'left', 'down', 'right', 'up']",-0.237315628046875,-0.011865781402343751
3,"Qlearntab_Language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,3,50,-3.499999999999999,-8.349999999999998,0.33011603355407715,"['left', 'right', 'left', 'up', 'up', 'right', 'up', 'up', 'up', 'left', 'down', 'right', 'left', 'down', 'right', 'up', 'down', 'left', 'right', 'right', 'right', 'up', 'up', 'up', 'left', 'left', 'up', 'down', 'up', 'up', 'left', 'left', 'down', 'left', 'down', 'right', 'left', 'right', 'left', 'left', 'left', 'down', 'up', 'up', 'left', 'left', 'right', 'up', 'right', 'down', 'down']",-0.40659571702330044,-0.014521275607975016
4,"Qlearntab_Language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,4,4,-1.2,-9.549999999999997,0.026927471160888672,"['up', 'down', 'right', 'right', 'up']",-0.46077622109546185,-0.01588883521018834
5,"Qlearntab_Language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,5,25,-2.2500000000000004,-11.799999999999997,0.15658140182495117,"['right', 'up', 'left', 'left', 'up', 'left', 'left', 'left', 'down', 'left', 'left', 'up', 'right', 'down', 'left', 'up', 'left', 'left', 'left', 'right', 'right', 'up', 'down', 'right', 'down', 'down']",-0.5633426181234309,-0.019425607521497617
6,"Qlearntab_Language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,6,19,-1.9500000000000002,-13.749999999999996,0.11469197273254395,"['right', 'up', 'down', 'up', 'left', 'right', 'down', 'up', 'left', 'right', 'left', 'down', 'right', 'left', 'down', 'right', 'right', 'right', 'up', 'up']",-0.6534896160437473,-0.02108031019495959
7,"Qlearntab_Language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,7,9,0.55,-13.199999999999996,0.0578458309173584,"['right', 'left', 'down', 'down', 'down', 'up', 'right', 'down', 'left', 'right']",-0.6246385539674619,-0.01784681582764177
8,"Qlearntab_Language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,8,74,-2.699999999999995,-15.899999999999991,0.43483567237854004,"['right', 'up', 'down', 'right', 'left', 'right', 'left', 'down', 'down', 'left', 'up', 'up', 'down', 'up', 'left', 'up', 'left', 'down', 'left', 'up', 'down', 'down', 'right', 'down', 'left', 'right', 'right', 'up', 'right', 'up', 'down', 'left', 'left', 'left', 'down', 'right', 'down', 'left', 'up', 'down', 'down', 'right', 'down', 'up', 'down', 'down', 'right', 'right', 'down', 'left', 'down', 'left', 'up', 'left', 'up', 'left', 'up', 'down', 'down', 'up', 'up', 'left', 'up', 'down', 'left', 'up', 'right', 'left', 'left', 'left', 'up', 'up', 'up', 'right', 'right']",-0.7368462982497129,-0.021052751378563227
9,"Qlearntab_Language_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,9,47,-1.3499999999999996,-17.249999999999993,0.2622995376586914,"['right', 'down', 'right', 'right', 'left', 'left', 'up', 'down', 'down', 'up', 'left', 'down', 'right', 'up', 'down', 'up', 'up', 'down', 'up', 'down', 'left', 'left', 'up', 'up', 'up', 'left', 'down', 'right', 'left', 'down', 'up', 'up', 'up', 'up', 'left', 'right', 'left', 'up', 'up', 'down', 'up', 'up', 'right', 'left', 'right', 'down', 'right', 'right']",-0.7795472903219485,-0.02227277972348424
