,agent,num_repeats,episode,avg_R_mean,avg_R_se,cum_R_mean,cum_R_se,time_mean
0,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,0,,,-1.05,0.0,0.0139625072479248
1,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,1,-1.05,0.0,-2.05,0.0,0.0079782009124755
2,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,2,-1.025,0.0,-3.4,0.0,0.0668199062347412
3,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,3,-1.1333333333333333,0.0,-4.75,0.0,0.0608365535736084
4,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,4,-1.1875,0.0,-6.05,0.0,0.0448799133300781
5,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,5,-1.21,0.0,-7.199999999999999,0.0,0.0239343643188476
6,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,6,-1.2,0.0,-8.2,0.0,0.0069806575775146
7,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,7,-1.1714285714285713,0.0,-9.2,0.0,0.008974552154541
8,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,8,-1.15,0.0,-10.9,0.0,0.1097066402435302
9,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,9,-1.211111111111111,0.0,-13.35,0.0,0.1944789886474609
10,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,10,-1.335,0.0,-14.35,0.0,0.007979393005371
11,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,11,-1.3060427807486632,0.0014973262032085659,-15.5,0.0,0.0299189090728759
12,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,12,-1.2948039215686276,0.003137254901960791,-15.9,0.0,0.1785249710083007
13,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,13,-1.224660633484163,0.0015837104072398264,-15.2,0.0,0.0488691329956054
14,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,14,-1.0833193277310924,0.0023949579831932764,-16.25,0.0,0.0129656791687011
15,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,15,-1.0796078431372547,0.0037254901960784123,-17.3,0.0,0.0169556140899658
16,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,16,-1.0770588235294116,0.004191176470588224,-18.5,0.0,0.0359032154083251
17,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,17,-1.0848096885813148,0.003425605536332173,-19.25,0.0,0.2263929843902588
18,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,18,-1.0656535947712418,0.0037908496732026063,-19.5,0.0,0.1635639667510986
19,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,19,-1.0165325077399383,0.00978328173374613,-20.5,0.0,0.005983829498291
20,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,20,-1.0067647058823528,0.01823529411764705,-21.7,0.0,0.0349059104919433
21,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,21,-1.015735294117647,0.01754602408983341,-20.9,0.0,0.0329110622406005
22,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,22,-0.9254411764705881,0.024094097182321257,-22.5,0.0,0.0827782154083252
23,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,23,-0.9581713554987213,0.018685678237688838,-23.75,0.0,0.0378992557525634
24,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,24,-0.9793382352941178,0.008111166801927864,-24.75,0.0,0.0079791545867919
25,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,25,-0.978529411764706,0.008657756487961774,-25.8,0.0,0.019946813583374
26,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,26,-0.9802714932126699,0.008925948685680142,-26.95,0.0,0.0309169292449951
27,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,27,-0.9855718954248367,0.009479815418723923,-28.0,0.0,0.0129647254943847
28,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,28,-0.9891176470588238,0.00795478137429325,-29.3,0.0,0.0498654842376709
29,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,29,-1.0032454361054768,0.005499389445748511,-30.35,0.0,0.0109696388244628
30,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,30,-1.000588235294118,0.009541084596158324,-29.65,0.0,0.0478723049163818
31,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,31,-0.9355091714104998,0.014255301840491733,-30.700000000000006,8.881784197001252e-16,0.0139627456665039
32,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,32,-0.9486029411764707,0.011854244803603222,-31.700000000000006,8.881784197001252e-16,0.0059843063354492
33,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,33,-0.9471657754010695,0.010142862901525058,-32.800000000000004,0.0,0.025930643081665
34,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,34,-0.9544636678200691,0.006014372505276336,-33.800000000000004,0.0,0.005983829498291
35,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,35,-0.9545588235294117,0.006362251969513513,-35.1,0.0,0.0538558959960937
36,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,36,-0.9647058823529411,0.0059016228487708995,-36.1,0.0,0.0069808959960937
37,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,37,-0.9637917329093798,0.006784704428272131,-37.15,0.0,0.0129635334014892
38,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,38,-0.9663828689370483,0.006275652231896218,-36.35,0.0,0.0378968715667724
39,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,39,-0.9085030165912518,0.014495632966962645,-37.6,0.0,0.038895845413208
40,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,40,-0.9146078431372547,0.014830558103849773,-38.75,0.0,0.0299212932586669
41,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,41,-0.929701099952176,0.009224497161284411,-40.25,0.0,0.0718076229095459
42,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,42,-0.9506372549019605,0.007877071198917656,-41.55,0.0,0.0468757152557373
43,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,43,-0.9592869357045143,0.006710728896358835,-42.85,0.0,0.0398926734924316
44,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,44,-0.9702584670231725,0.003969222280853133,-42.05,0.0,0.0349080562591552
45,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,45,-0.9175163398692809,0.008282129954147332,-43.05,0.0,0.0059831142425537
46,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,46,-0.916375745950554,0.009842276735537473,-44.05,0.0,0.0069808959960937
47,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,47,-0.9165858364622443,0.010280354108939054,-45.05,0.0,0.0079774856567382
48,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,48,-0.9176348039215685,0.010501142470022089,-46.1,0.0,0.0129640102386474
49,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,49,-0.9301340536214484,0.0076752515374685065,-47.35,0.0,0.0398919582366943
50,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,50,-0.934176470588235,0.008469337121656963,-48.49999999999999,0.0,0.0279228687286376
51,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,51,-0.9426675317185695,0.006712299697914334,-49.49999999999999,0.0,0.0059828758239746
52,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,52,-0.9435535444947208,0.006086093237458305,-50.6,0.0,0.0199484825134277
53,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,53,-0.944398261191269,0.005689120030813487,-51.6,0.0,0.005983829498291
54,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,54,-0.9445294117647058,0.005363633710177968,-52.74999999999999,0.0,0.0259299278259277
55,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,55,-0.9592014260249554,0.007645329028571356,-52.79999999999999,0.0,0.1386289596557617
56,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,56,-0.9337521008403362,0.0056959070177160145,-54.24999999999999,0.0,0.0668210983276367
57,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,57,-0.9454883900928792,0.006642725547474751,-55.35,0.0,0.0209443569183349
58,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,58,-0.9487582826233942,0.006820015864895396,-54.64999999999999,0.0,0.0468742847442626
59,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,59,-0.9108237786640079,0.006817485144821916,-56.14999999999999,0.0,0.0758721828460693
60,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,60,-0.9202794117647058,0.006962562341956338,-57.29999999999999,0.0,0.0259315967559814
61,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,61,-0.9263796207007392,0.006066600515648185,-58.39999999999999,0.0,0.0638294219970703
62,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,62,-0.9303994307400378,0.005764774333060944,-59.39999999999999,0.0,0.0089750289916992
63,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,63,-0.9290056022408963,0.005884804973634501,-60.4,1.7763568394002505e-15,0.0079786777496337
64,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,64,-0.9297941176470589,0.005526184133076311,-61.55,1.7763568394002505e-15,0.0249330997467041
65,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,65,-0.9380678733031675,0.005178702144138901,-63.749999999999986,1.7763568394002505e-15,0.165555715560913
66,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,66,-0.9723676470588236,0.009206097247239831,-64.89999999999999,0.0,0.0209431648254394
67,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,67,-0.9732043459174714,0.007921282729443735,-66.24999999999999,0.0,0.0548522472381591
68,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,68,-0.981411476355248,0.008981745788578325,-67.24999999999999,0.0,0.0059831142425537
69,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,69,-0.9947900682011934,0.017861063953739962,-67.69999999999999,0.0,0.1894912719726562
70,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,70,-0.9763522408963586,0.012588453837582652,-67.99999999999999,0.0,0.1775238513946533
71,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,71,-0.9607535309898608,0.00815643831815742,-67.44999999999999,0.0,0.067819595336914
72,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,72,-0.9251230158730159,0.004906402144781963,-68.44999999999999,0.0,0.0059833526611328
73,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,73,-0.9243381201795786,0.004838560158470996,-70.74999999999999,0.0,0.1695466041564941
74,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,74,-0.9553383110000757,0.005525075712622663,-71.84999999999998,0.0,0.0209436416625976
75,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,75,-0.9598970588235294,0.005419058339881762,-72.84999999999998,0.0,0.006981611251831
76,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,76,-0.9552823603125461,0.00519568736832279,-74.44999999999997,0.0,0.0907559394836425
77,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,77,-0.9667554749172398,0.004739304558960823,-75.69999999999997,0.0,0.0378990173339843
78,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,78,-0.9704634238310708,0.005107459326401542,-76.69999999999997,0.0,0.0069806575775146
79,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,79,-0.9780261231074708,0.009146946713598097,-77.69999999999997,0.0,0.0079786777496337
80,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,80,-0.9778697478991598,0.008041732331951598,-79.49999999999997,0.0,0.1107051372528076
81,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,81,-1.0010052521008406,0.01295655347426395,-80.69999999999997,0.0,0.0329101085662841
82,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,82,-1.0152816065450572,0.02133991005008406,-80.04999999999997,0.0,0.0618336200714111
83,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,83,-0.977500434511154,0.012522915129024675,-81.09999999999997,0.0,0.0119683742523193
84,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,84,-0.9715591736694679,0.006134778559293813,-82.39999999999996,0.0,0.0438828468322753
85,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,85,-0.9794998558246829,0.007108663616706979,-84.09999999999997,0.0,0.0957424640655517
86,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,86,-0.9929675591166699,0.009934417805764654,-83.49999999999997,0.0,0.057845115661621
87,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,87,-0.952617791944364,0.0045788262680507685,-84.59999999999997,0.0,0.0189487934112548
88,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,88,-0.9524663228927936,0.005495047322187228,-85.59999999999997,0.0,0.0079774856567382
89,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,89,-0.957895028798036,0.0073221106285896575,-86.59999999999997,0.0,0.0059831142425537
90,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,90,-0.9569800420168068,0.006534212523779773,-85.99999999999997,0.0,0.0588421821594238
91,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,91,-0.920403424190189,0.017376576464090177,-87.24999999999997,0.0,0.0408895015716552
92,"Qlearntab_Language__training_results_[4, 1]---GOAL",17,92,-0.9300748234076239,0.01768457738965238,-88.29999999999997,0.0,0.015956163406372
