,agent,num_repeats,episode,avg_R_mean,avg_R_se,cum_R_mean,cum_R_se,time_mean
0,"Qlearntab_Language__training_results_[4, 1]---GOAL",16,0,,,-1.25,0.0,0.0478711128234863
1,"Qlearntab_Language__training_results_[4, 1]---GOAL",16,1,-1.25,0.0,-1.0500000000000005,0.0,0.1416192054748535
2,"Qlearntab_Language__training_results_[4, 1]---GOAL",16,2,-0.5250000000000001,0.0,-2.0500000000000003,0.0,0.0059843063354492
3,"Qlearntab_Language__training_results_[4, 1]---GOAL",16,3,-0.6833333333333335,0.0,-3.4000000000000004,0.0,0.0598406791687011
4,"Qlearntab_Language__training_results_[4, 1]---GOAL",16,4,-0.8500000000000001,0.0,-2.8000000000000003,0.0,0.0528585910797119
5,"Qlearntab_Language__training_results_[4, 1]---GOAL",16,5,-0.56,0.0,-3.8,0.0,0.0059845447540283
6,"Qlearntab_Language__training_results_[4, 1]---GOAL",16,6,-0.6333333333333334,0.0,-4.9,0.0,0.017951488494873
7,"Qlearntab_Language__training_results_[4, 1]---GOAL",16,7,-0.7000000000000001,0.0,-5.9,0.0,0.0039875507354736
8,"Qlearntab_Language__training_results_[4, 1]---GOAL",16,8,-0.7375,0.0,-6.95,0.0,0.0129644870758056
9,"Qlearntab_Language__training_results_[4, 1]---GOAL",16,9,-0.7722222222222223,0.0,-9.599999999999994,0.0,0.4767255783081054
10,"Qlearntab_Language__training_results_[4, 1]---GOAL",16,10,-0.9599999999999994,0.0,-10.599999999999994,0.0,0.0059833526611328
11,"Qlearntab_Language__training_results_[4, 1]---GOAL",16,11,-0.9618465909090903,0.0017897727272727165,-11.899999999999997,0.0,0.0488691329956054
12,"Qlearntab_Language__training_results_[4, 1]---GOAL",16,12,-0.9974999999999996,0.005833333333333329,-13.349999999999994,0.0,0.0578458309173584
13,"Qlearntab_Language__training_results_[4, 1]---GOAL",16,13,-1.033365384615384,0.006442307692307692,-14.549999999999994,0.0,0.0378992557525634
14,"Qlearntab_Language__training_results_[4, 1]---GOAL",16,14,-1.0440178571428569,0.0047321428571428376,-15.999999999999991,0.0,0.0628321170806884
15,"Qlearntab_Language__training_results_[4, 1]---GOAL",16,15,-1.0824999999999996,0.015833333333333324,-16.999999999999993,0.0,0.0059845447540283
16,"Qlearntab_Language__training_results_[4, 1]---GOAL",16,16,-1.0785937499999996,0.01609374999999999,-18.549999999999997,0.0,0.0688145160675048
17,"Qlearntab_Language__training_results_[4, 1]---GOAL",16,17,-1.1082904411764702,0.017113970588235286,-20.049999999999997,0.0,0.0618350505828857
18,"Qlearntab_Language__training_results_[4, 1]---GOAL",16,18,-1.132708333333333,0.018819444444444444,-21.049999999999997,0.0,0.0059847831726074
19,"Qlearntab_Language__training_results_[4, 1]---GOAL",16,19,-1.1267763157894732,0.018881578947368416,-20.299999999999997,0.0,0.0388956069946289
20,"Qlearntab_Language__training_results_[4, 1]---GOAL",16,20,-1.0184374999999997,0.00343750000000001,-21.299999999999997,0.0,0.0069813728332519
21,"Qlearntab_Language__training_results_[4, 1]---GOAL",16,21,-1.0170312499999996,0.0036069246088501206,-24.749999999999996,0.0,0.2812473773956299
22,"Qlearntab_Language__training_results_[4, 1]---GOAL",16,22,-1.13875,0.010443299287102704,-25.999999999999996,0.0,0.0329115390777587
23,"Qlearntab_Language__training_results_[4, 1]---GOAL",16,23,-1.1430366847826083,0.009143443484472439,-26.999999999999996,0.0,0.00498628616333
24,"Qlearntab_Language__training_results_[4, 1]---GOAL",16,24,-1.1359374999999998,0.008039210548928295,-27.349999999999994,0.0,0.162670612335205
25,"Qlearntab_Language__training_results_[4, 1]---GOAL",16,25,-1.10490625,0.00856351499458603,-28.399999999999995,0.0,0.0119688510894775
26,"Qlearntab_Language__training_results_[4, 1]---GOAL",16,26,-1.1038942307692308,0.008917623430208181,-29.649999999999995,0.0,0.0309174060821533
27,"Qlearntab_Language__training_results_[4, 1]---GOAL",16,27,-1.1075983796296296,0.008691589566452862,-30.649999999999995,0.0,0.0069806575775146
28,"Qlearntab_Language__training_results_[4, 1]---GOAL",16,28,-1.10140625,0.009326573837089928,-30.899999999999995,0.0,0.1446149349212646
29,"Qlearntab_Language__training_results_[4, 1]---GOAL",16,29,-1.0687338362068965,0.009945042947767083,-32.099999999999994,0.0,0.0249335765838623
30,"Qlearntab_Language__training_results_[4, 1]---GOAL",16,30,-1.0803125000000002,0.007478702399703649,-33.3,0.0,0.0698120594024658
31,"Qlearntab_Language__training_results_[4, 1]---GOAL",16,31,-1.0854905913978494,0.008543286607299123,-34.3,0.0,0.0069806575775146
32,"Qlearntab_Language__training_results_[4, 1]---GOAL",16,32,-1.0698567708333333,0.008475410347965819,-35.3,0.0,0.0079791545867919
33,"Qlearntab_Language__training_results_[4, 1]---GOAL",16,33,-1.065118371212121,0.009452866277444913,-36.3,0.0,0.0069806575775146
34,"Qlearntab_Language__training_results_[4, 1]---GOAL",16,34,-1.0620986519607842,0.009057785007030576,-37.35,0.0,0.0129649639129638
35,"Qlearntab_Language__training_results_[4, 1]---GOAL",16,35,-1.068251488095238,0.006962069912307707,-38.45,0.0,0.0199472904205322
36,"Qlearntab_Language__training_results_[4, 1]---GOAL",16,36,-1.069826388888889,0.006923666833610603,-39.45,0.0,0.0089759826660156
37,"Qlearntab_Language__training_results_[4, 1]---GOAL",16,37,-1.064842342342342,0.007946420258156716,-38.95,0.0,0.0648238658905029
38,"Qlearntab_Language__training_results_[4, 1]---GOAL",16,38,-1.0126041666666665,0.014119175913353509,-39.95,0.0,0.0059823989868164
39,"Qlearntab_Language__training_results_[4, 1]---GOAL",16,39,-1.0166666666666666,0.010271163267702194,-40.95,0.0,0.0059843063354492
40,"Qlearntab_Language__training_results_[4, 1]---GOAL",16,40,-1.0169531250000001,0.008907049488969868,-42.35,0.0,0.0468733310699462
41,"Qlearntab_Language__training_results_[4, 1]---GOAL",16,41,-1.0274034552845528,0.008400198663627326,-43.39999999999999,0.0,0.0119669437408447
42,"Qlearntab_Language__training_results_[4, 1]---GOAL",16,42,-1.021953125,0.010047825361133961,-44.39999999999999,0.0,0.0059845447540283
43,"Qlearntab_Language__training_results_[4, 1]---GOAL",16,43,-1.0196529796511626,0.01035155345688332,-45.44999999999999,0.0,0.0109698772430419
44,"Qlearntab_Language__training_results_[4, 1]---GOAL",16,44,-1.019637784090909,0.009920424274648777,-45.09999999999999,0.0,0.0837752819061279
45,"Qlearntab_Language__training_results_[4, 1]---GOAL",16,45,-0.9822916666666666,0.016141225447611377,-46.149999999999984,0.0,0.0109710693359375
46,"Qlearntab_Language__training_results_[4, 1]---GOAL",16,46,-0.9829404438405795,0.01649264156878396,-47.44999999999998,0.0,0.0438830852508544
47,"Qlearntab_Language__training_results_[4, 1]---GOAL",16,47,-0.989498559397163,0.015389940997563741,-48.74999999999998,0.0,0.0468738079071044
